Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_20,RSI_14,Volume_SMA_20,Volatility,Target_Next_Close
91.53,92.08,90.69,91.79,1090395,92.18,90.68,91.68,49.42,1530191.0,0.259,90.77
90.81,90.85,89.98,90.77,581402,91.78,90.67,91.59,40.79,1532547.0,0.2624,90.38
91.08,91.32,89.96,90.38,1949894,91.42,90.65,91.47,44.63,1551180.0,0.2553,91.53
90.96,92.18,90.93,91.53,329806,91.16,90.67,91.48,45.63,1517737.0,0.2515,89.9
89.24,89.9,88.56,89.9,1586514,90.8,90.63,91.33,29.09,1536423.0,0.2556,90.25
90.33,90.78,89.9,90.25,726476,90.68,90.61,91.23,33.78,1423035.0,0.2513,92.09
92.11,93.32,92.05,92.09,668419,90.73,90.58,91.31,43.62,1433066.0,0.2588,89.94
90.02,90.29,89.93,89.94,378057,90.71,90.54,91.18,37.44,1367913.0,0.2584,90.23
90.34,90.57,89.74,90.23,828969,90.65,90.51,91.09,40.06,1349900.0,0.2497,90.63
90.53,91.73,90.1,90.63,2863629,90.75,90.5,91.04,47.35,1447031.0,0.2476,91.74
92.43,94.37,91.58,91.74,1178613,90.75,90.54,91.11,50.61,1383877.0,0.217,90.1
89.38,90.38,89.34,90.1,1987015,90.68,90.55,91.02,49.85,1361751.0,0.2201,88.38
88.01,88.45,87.75,88.38,4554896,90.48,90.51,90.76,42.79,1561296.0,0.2272,89.12
89.07,89.49,88.02,89.12,1485117,90.24,90.49,90.61,48.43,1583576.0,0.2302,89.56
88.83,89.74,88.64,89.56,769087,90.21,90.48,90.51,42.51,1546730.0,0.2311,89.94
89.87,89.99,88.51,89.94,1747683,90.17,90.52,90.45,47.11,1585782.0,0.2189,90.46
91.21,92.03,89.82,90.46,778063,90.01,90.58,90.45,50.29,1528667.0,0.22,89.59
89.59,89.66,89.03,89.59,803282,89.98,90.63,90.37,43.09,1493532.0,0.2158,89.94
90.05,90.58,89.32,89.94,356498,89.95,90.7,90.33,50.16,1250868.0,0.2144,90.38
89.81,91.1,89.29,90.38,2523117,89.92,90.79,90.34,50.51,1359347.0,0.2097,89.47
89.19,89.62,88.87,89.47,883103,89.69,90.84,90.25,39.07,1348982.0,0.1933,92.05
91.88,92.44,91.76,92.05,1391201,89.89,90.9,90.42,58.5,1389472.0,0.2168,92.75
92.61,93.11,91.93,92.75,525040,90.33,90.97,90.65,59.82,1318229.0,0.2172,91.16
91.74,92.22,91.09,91.16,1704458,90.53,91.0,90.69,51.88,1386962.0,0.2224,92.1
92.36,92.42,90.95,92.1,653728,90.78,91.04,90.83,51.3,1340323.0,0.215,90.81
90.31,90.82,90.21,90.81,1073712,90.87,91.12,90.83,52.63,1357684.0,0.2215,91.94
92.05,92.4,91.3,91.94,2427228,91.02,91.21,90.93,63.77,1445625.0,0.2137,93.6
93.83,94.03,92.66,93.6,2263917,91.42,91.33,91.19,66.18,1539918.0,0.204,92.5
93.02,94.39,91.36,92.5,1181595,91.68,91.37,91.31,60.13,1557549.0,0.2097,93.89
94.63,94.96,92.7,93.89,292288,92.03,91.44,91.56,62.73,1428982.0,0.2151,94.52
94.04,95.12,93.58,94.52,13180492,92.53,91.51,91.84,63.0,2029076.0,0.2124,95.74
95.35,95.97,94.49,95.74,4860671,92.9,91.6,92.21,69.28,2172759.0,0.2029,98.55
97.93,98.75,97.81,98.55,2143905,93.48,91.79,92.82,73.37,2052209.0,0.2054,98.24
98.13,99.02,98.0,98.24,658313,94.19,91.93,93.33,71.47,2010869.0,0.2074,97.19
97.41,97.97,96.84,97.19,1098137,94.7,92.03,93.7,70.94,2027322.0,0.2147,95.95
96.42,97.61,95.27,95.95,778608,95.21,92.09,93.91,61.4,1978868.0,0.223,94.83
94.79,94.95,94.69,94.83,3305455,95.5,92.14,94.0,55.92,2105237.0,0.229,94.76
94.61,95.13,94.32,94.76,1483629,95.62,92.16,94.07,61.29,2139255.0,0.2249,95.3
95.37,96.11,94.29,95.3,642208,95.9,92.22,94.19,60.26,2153540.0,0.225,95.74
95.34,95.88,95.08,95.74,825212,96.08,92.28,94.34,66.75,2068645.0,0.225,96.99
98.0,98.38,96.78,96.99,2948922,96.33,92.3,94.59,67.02,2171936.0,0.2221,97.05
96.27,97.06,96.15,97.05,4325672,96.46,92.34,94.82,63.06,2318660.0,0.202,99.24
99.33,99.58,98.28,99.24,4084317,96.53,92.45,95.24,73.54,2496623.0,0.2134,98.9
99.9,101.35,97.64,98.9,2203650,96.59,92.54,95.59,68.86,2521583.0,0.201,103.07
103.07,103.35,102.35,103.07,982543,97.18,92.73,96.3,75.41,2538024.0,0.2416,104.09
103.99,104.32,103.19,104.09,89930,98.0,92.99,97.05,75.12,2488835.0,0.2303,102.81
102.63,103.23,102.38,102.81,1525340,98.8,93.21,97.6,64.12,2443740.0,0.239,101.23
101.13,101.91,99.74,101.23,1200846,99.44,93.43,97.94,59.12,2390587.0,0.2456,102.01
102.71,103.19,100.42,102.01,1345109,100.11,93.66,98.33,65.0,2398762.0,0.2386,101.72
100.6,102.11,100.55,101.72,1255592,100.71,93.9,98.65,69.08,2446928.0,0.2371,102.87
103.66,103.95,102.25,102.87,416228,101.3,94.12,99.05,76.51,1808714.0,0.2383,103.65
102.91,105.6,102.57,103.65,1878392,101.96,94.38,99.49,77.97,1659600.0,0.2365,103.59
103.45,104.18,102.49,103.59,1994238,102.39,94.64,99.88,76.9,1652117.0,0.2171,102.34
102.12,102.68,102.1,102.34,2075828,102.74,94.86,100.12,70.31,1722993.0,0.2226,100.09
100.38,100.43,99.06,100.09,2564467,102.44,95.06,100.11,59.0,1796309.0,0.2344,99.47
98.67,99.78,97.82,99.47,1949807,101.98,95.25,100.05,56.79,1854869.0,0.2302,100.8
101.04,101.25,99.94,100.8,866291,101.78,95.42,100.12,54.61,1732911.0,0.2278,101.18
102.2,103.25,100.63,101.18,1136348,101.77,95.65,100.22,56.72,1715547.0,0.2274,99.36
98.68,101.28,97.92,99.36,1293548,101.51,95.83,100.14,37.3,1748114.0,0.2394,99.66
99.76,101.66,97.5,99.66,1310814,101.3,96.01,100.1,34.07,1772394.0,0.2393,100.29
99.96,100.69,99.84,100.29,2672631,101.04,96.18,100.11,40.48,1758580.0,0.2364,99.02
99.23,100.1,97.89,99.02,2012594,100.58,96.36,100.01,41.47,1642926.0,0.2419,99.3
99.31,100.55,98.92,99.3,6336738,100.15,96.58,99.94,39.08,1755547.0,0.2285,99.43
99.12,101.83,98.88,99.43,7026330,99.86,96.78,99.89,40.68,1996681.0,0.2282,97.79
98.03,98.48,97.51,97.79,1281727,99.63,96.95,99.69,30.13,2011640.0,0.1743,98.37
99.26,99.45,97.93,98.37,55864,99.52,97.12,99.57,28.96,2009937.0,0.171,99.25
99.15,100.12,98.28,99.25,3234762,99.37,97.29,99.54,33.77,2095408.0,0.1719,100.93
101.29,102.09,99.07,100.93,780506,99.34,97.52,99.67,44.89,2074391.0,0.1759,102.58
101.92,103.38,100.4,102.58,633371,99.66,97.77,99.95,59.46,2038804.0,0.1836,100.54
100.06,100.63,99.13,100.54,874356,99.75,97.97,100.0,53.65,2019742.0,0.1971,99.18
99.42,99.91,97.93,99.18,841284,99.64,98.17,99.93,44.47,2040995.0,0.197,100.0
100.74,101.14,99.68,100.0,1962669,99.74,98.33,99.93,46.1,2045209.0,0.1975,100.83
101.0,103.31,100.72,100.83,345397,99.89,98.49,100.02,55.21,1962767.0,0.2006,101.66
101.5,102.35,101.45,101.66,507790,100.11,98.7,100.17,56.82,1884365.0,0.199,107.76
107.76,108.73,107.19,107.76,1582516,101.11,99.01,100.9,68.58,1835267.0,0.2776,108.74
108.06,108.96,107.21,108.74,1979500,102.15,99.37,101.64,74.54,1836752.0,0.2756,110.66
111.0,111.48,110.55,110.66,2009172,103.29,99.74,102.5,76.49,1893896.0,0.2778,112.32
112.81,113.53,111.89,112.32,640734,104.43,100.12,103.44,78.04,1869115.0,0.2801,113.48
113.22,115.16,112.04,113.48,549842,105.52,100.54,104.39,84.87,1831930.0,0.2664,113.0
112.73,113.04,111.92,113.0,801862,106.76,100.92,105.21,82.66,1806482.0,0.269,114.35
114.5,115.01,112.85,114.35,1457011,108.28,101.32,106.08,83.02,1745701.0,0.2697,113.09
112.84,114.77,112.83,113.09,3946666,109.59,101.66,106.75,77.09,1842405.0,0.2682,112.74
112.7,113.18,111.62,112.74,233760,110.78,101.95,107.32,74.03,1537256.0,0.2702,111.98
113.15,113.45,111.74,111.98,1007937,111.81,102.22,107.76,78.83,1236336.0,0.2737,112.17
112.03,113.79,110.81,112.17,414097,112.25,102.52,108.18,84.76,1192955.0,0.2611,116.19
115.99,118.42,114.87,116.19,320682,113.0,102.93,108.95,86.99,1206196.0,0.2804,113.04
112.68,113.81,112.65,113.04,2606621,113.23,103.29,109.34,75.22,1174789.0,0.3075,114.27
114.69,114.7,114.19,114.27,1859279,113.43,103.68,109.81,75.62,1228727.0,0.3056,111.59
111.49,112.64,109.81,111.59,1722947,113.24,104.01,109.98,59.05,1283206.0,0.3206,110.86
110.5,112.08,110.04,110.86,2512580,113.03,104.31,110.06,55.06,1365117.0,0.3105,112.74
113.49,113.96,112.45,112.74,819315,112.87,104.63,110.32,54.97,1364019.0,0.3051,112.91
113.71,115.41,111.62,112.91,850763,112.85,104.94,110.56,51.53,1308424.0,0.3056,111.15
110.82,111.53,110.47,111.15,6910720,112.69,105.18,110.62,44.2,1636690.0,0.3151,110.02
109.0,110.27,108.27,110.02,987313,112.5,105.4,110.56,42.8,1660666.0,0.3194,111.2
111.76,111.77,110.64,111.2,2165378,112.4,105.57,110.62,42.33,1689809.0,0.244,110.05
109.67,111.43,109.42,110.05,1208759,111.78,105.69,110.57,42.55,1651272.0,0.246,110.46
110.9,112.1,110.14,110.46,274139,111.53,105.84,110.56,44.43,1564520.0,0.2381,110.59
109.5,111.13,109.34,110.59,234285,111.16,106.03,110.56,46.5,1544198.0,0.2316,109.57
110.06,110.5,107.39,109.57,756768,110.96,106.18,110.47,43.7,1554544.0,0.2296,113.21
112.52,114.62,112.32,113.21,2799302,111.19,106.41,110.73,42.63,1654416.0,0.2604,114.35
114.77,115.85,113.46,114.35,2259453,111.35,106.64,111.07,53.58,1694538.0,0.2594,110.98
110.99,112.26,110.42,110.98,2498651,111.16,106.78,111.06,41.94,1622137.0,0.2775,111.35
110.82,111.66,110.77,111.35,545993,111.18,106.94,111.09,49.32,1637749.0,0.2777,110.3
110.08,111.59,109.41,110.3,4380607,111.21,107.1,111.02,48.48,1806383.0,0.2787,111.78
112.16,112.23,111.46,111.78,555756,111.26,107.33,111.09,47.32,1813466.0,0.283,110.51
110.57,112.2,110.32,110.51,1425822,111.31,107.55,111.03,43.73,1868723.0,0.2515,110.38
110.7,111.49,109.55,110.38,1192685,111.3,107.74,110.97,47.78,1798026.0,0.2338,111.27
112.37,112.9,110.09,111.27,1046436,111.37,107.95,111.0,53.63,1757384.0,0.2322,112.78
111.9,113.41,111.07,112.78,3509112,111.69,108.21,111.17,54.5,1846692.0,0.2222,110.83
111.72,111.75,110.29,110.83,684135,111.45,108.44,111.14,52.12,1755270.0,0.23,110.33
110.38,111.75,109.89,110.33,408528,111.05,108.64,111.06,49.64,1734730.0,0.2216,109.6
109.11,109.74,108.64,109.6,1221996,110.91,108.85,110.92,47.39,1753292.0,0.2222,108.58
107.86,110.49,107.31,108.58,873390,110.64,109.04,110.7,47.41,1451425.0,0.218,111.55
111.45,111.99,109.94,111.55,17928574,110.76,109.28,110.78,45.5,2298488.0,0.2371,112.29
112.81,112.86,111.39,112.29,2066167,110.81,109.57,110.92,44.27,2293528.0,0.2352,110.24
110.17,111.19,109.67,110.24,866768,110.79,109.8,110.86,47.78,2276428.0,0.2416,111.83
112.67,112.86,111.51,111.83,516644,110.93,110.06,110.95,51.34,2288554.0,0.2466,115.5
114.66,115.69,112.24,115.5,267204,111.35,110.35,111.38,62.68,2290200.0,0.2717,117.36
117.35,118.39,117.07,117.36,529572,111.81,110.64,111.95,63.37,2278840.0,0.2723,114.77
114.06,114.99,113.7,114.77,1318431,112.21,110.93,112.22,59.6,2204796.0,0.2631,114.0
114.21,115.15,111.99,114.0,3767276,112.57,111.22,112.39,57.93,2280187.0,0.262,116.25
116.76,117.54,114.95,116.25,2950104,113.24,111.55,112.76,60.28,2302760.0,0.2465,115.08
114.83,116.39,113.6,115.08,1444502,113.89,111.83,112.98,54.81,2347685.0,0.2504,115.9
114.39,115.99,113.48,115.9,928630,114.32,112.12,113.26,61.17,2175087.0,0.2475,117.32
117.43,118.27,117.0,117.32,1491137,114.82,112.31,113.64,64.79,2221856.0,0.2468,115.75
116.01,116.93,114.44,115.75,794199,115.38,112.45,113.85,62.58,2190274.0,0.2484,115.71
115.94,116.21,114.99,115.71,4754923,115.76,112.55,114.02,65.16,2368386.0,0.2483,110.27
110.95,111.63,110.13,110.27,1033692,115.24,112.51,113.67,47.53,2367749.0,0.3027,108.65
108.06,108.9,107.8,108.65,1122343,114.37,112.41,113.19,43.21,2248411.0,0.3022,108.29
108.66,108.71,107.77,108.29,204299,113.72,112.32,112.72,46.12,2224419.0,0.2966,106.33
106.97,107.39,106.21,106.33,1028541,112.95,112.16,112.11,39.25,2255420.0,0.3026,109.02
108.05,109.28,107.99,109.02,2348264,112.23,112.08,111.82,36.81,2311733.0,0.3166,106.76
106.93,108.64,105.94,106.76,511867,111.4,111.96,111.34,28.76,2293657.0,0.3235,106.11
105.85,107.07,105.03,106.11,659622,110.42,111.84,110.84,31.18,1430209.0,0.3065,106.38
106.33,107.17,105.91,106.38,2267455,109.33,111.73,110.41,33.05,1440274.0,0.3052,108.75
108.94,109.06,108.44,108.75,369045,108.63,111.58,110.26,33.45,1415388.0,0.3115,106.49
106.23,106.94,105.6,106.49,2803112,107.71,111.45,109.9,31.91,1529711.0,0.3142,108.42
108.05,109.6,107.97,108.42,785664,107.52,111.33,109.76,34.93,1555634.0,0.2962,108.49
108.51,109.45,107.55,108.49,881292,107.51,111.27,109.64,31.21,1573220.0,0.2879,106.96
106.38,108.69,106.03,106.96,489381,107.37,111.19,109.38,31.25,1531767.0,0.2826,107.76
107.17,107.84,107.1,107.76,1627306,107.51,111.09,109.23,33.58,1424769.0,0.2848,108.13
108.5,109.02,107.34,108.13,8605375,107.43,110.99,109.12,44.41,1707532.0,0.2736,107.22
106.6,108.05,106.44,107.22,2247205,107.47,110.91,108.94,46.13,1747668.0,0.2731,107.38
107.74,107.8,106.34,107.38,602336,107.6,110.86,108.79,47.52,1731353.0,0.2709,106.82
107.06,107.38,106.77,106.82,2983168,107.64,110.77,108.6,51.43,1805954.0,0.2644,107.05
106.13,108.85,106.03,107.05,933462,107.47,110.71,108.46,43.16,1812918.0,0.2633,108.18
107.81,109.48,107.65,108.18,3611334,107.64,110.67,108.43,55.32,1755738.0,0.2679,110.84
111.5,112.53,110.02,110.84,2292930,107.88,110.67,108.66,65.45,1818700.0,0.2308,108.85
108.32,109.7,107.43,108.85,114174,107.92,110.66,108.68,57.28,1768292.0,0.2338,112.45
112.18,113.15,111.65,112.45,538604,108.47,110.64,109.04,60.13,1785007.0,0.2606,109.26
109.51,109.69,108.72,109.26,2559975,108.62,110.54,109.06,57.22,1861579.0,0.2734,109.06
109.49,109.89,108.15,109.06,1357731,108.71,110.5,109.06,51.85,1812052.0,0.2586,110.08
109.94,110.25,109.33,110.08,530192,109.0,110.48,109.16,54.34,1812968.0,0.2482,110.6
110.27,111.94,109.0,110.6,724421,109.32,110.48,109.29,60.51,1816208.0,0.2467,109.63
110.41,110.94,109.35,109.63,261714,109.6,110.44,109.33,55.35,1715921.0,0.2498,109.34
110.29,110.74,109.13,109.34,1120517,109.83,110.42,109.33,53.47,1753495.0,0.2377,108.59
109.12,109.5,107.32,108.59,7050095,109.87,110.38,109.26,53.98,1965844.0,0.2261,107.69
107.74,109.01,107.25,107.69,2289735,109.56,110.31,109.11,50.85,2041047.0,0.2191,109.13
108.68,109.31,108.31,109.13,6936678,109.58,110.24,109.11,56.12,2343817.0,0.2243,109.77
109.31,110.83,108.27,109.77,2436121,109.32,110.22,109.17,57.04,2441154.0,0.2183,108.69
108.97,110.3,108.1,108.69,2735934,109.26,110.18,109.13,51.33,2496585.0,0.2205,110.22
110.45,111.38,109.4,110.22,5834288,109.37,110.2,109.23,48.29,2358031.0,0.2256,110.78
111.56,111.67,109.78,110.78,1626287,109.44,110.24,109.38,55.79,2326985.0,0.2231,112.2
112.56,113.45,111.89,112.2,1035316,109.6,110.25,109.65,49.14,2348634.0,0.2265,113.32
112.47,114.04,111.94,113.32,2747291,109.97,110.27,110.0,66.33,2336840.0,0.2263,111.97
112.56,112.94,111.78,111.97,3848031,110.23,110.31,110.18,60.72,2482568.0,0.2324,111.09
110.54,112.31,109.26,111.09,819154,110.48,110.29,110.27,53.75,2342959.0,0.233,112.4
112.19,113.28,111.32,112.4,675186,110.96,110.23,110.47,56.31,2262072.0,0.2202,113.49
113.63,114.27,112.47,113.49,1343897,111.39,110.15,110.76,63.45,2323558.0,0.2107,113.51
114.65,115.84,111.74,113.51,2338918,111.77,110.13,111.02,64.8,2413574.0,0.1764,113.77
115.54,117.02,112.88,113.77,2277235,112.28,110.12,111.28,69.04,2399437.0,0.1395,116.03
116.38,116.97,115.28,116.03,384871,112.86,110.12,111.74,77.89,2350794.0,0.1521,115.06
114.96,115.74,114.17,115.06,5549868,113.28,110.12,112.05,70.49,2601778.0,0.1555,116.07
116.38,116.56,116.0,116.07,720044,113.67,110.12,112.44,71.22,2601559.0,0.157,115.77
116.29,116.72,115.75,115.77,972813,113.92,110.09,112.75,75.2,2637114.0,0.1525,115.45
115.27,115.5,115.1,115.45,584128,114.27,110.09,113.01,70.38,2610294.0,0.1526,117.43
118.49,120.14,116.29,117.43,10414015,114.9,110.12,113.43,73.31,2778490.0,0.1562,118.95
119.09,119.56,117.77,118.95,1459575,115.55,110.29,113.96,73.51,2736982.0,0.1522,120.47
120.77,121.15,119.89,120.47,608784,116.25,110.53,114.58,74.23,2420588.0,0.1519,122.92
123.33,123.73,121.84,122.92,2400382,117.19,110.82,115.37,84.48,2418801.0,0.1613,123.02
123.28,124.27,122.31,123.02,2225091,118.12,111.16,116.1,89.52,2393259.0,0.1518,124.35
124.87,125.99,122.03,124.35,1034903,118.95,111.46,116.89,89.54,2153289.0,0.15,123.83
123.45,124.95,122.93,123.83,2356022,119.83,111.8,117.55,85.57,2189776.0,0.1543,124.5
124.15,124.65,123.2,124.5,621422,120.67,112.17,118.21,86.19,2169082.0,0.152,124.32
123.63,124.65,123.53,124.32,810709,121.52,112.53,118.79,84.92,2072252.0,0.1527,124.56
124.83,124.85,123.33,124.56,240825,122.43,112.85,119.34,82.6,1891892.0,0.1402,125.74
126.23,126.34,125.73,125.74,416999,123.27,113.23,119.95,90.15,1871784.0,0.1317,124.27
124.55,125.77,123.88,124.27,5106907,123.8,113.55,120.36,79.79,2093370.0,0.1444,128.29
129.37,130.48,126.95,128.29,4471090,124.58,113.94,121.12,85.78,2249730.0,0.1736,126.43
126.43,127.21,125.93,126.43,1267593,124.93,114.33,121.62,78.85,2196164.0,0.1876,124.22
124.63,125.66,122.81,124.22,4548668,125.05,114.66,121.87,67.6,2309735.0,0.2045,126.46
125.76,127.06,125.24,126.46,1058052,125.26,115.03,122.31,68.76,2343394.0,0.2028,128.03
127.78,128.95,127.15,128.03,989813,125.68,115.45,122.85,68.84,2115392.0,0.1988,129.3
129.75,131.51,127.86,129.3,1258219,126.16,115.88,123.47,66.9,2142300.0,0.1991,130.59
131.14,131.56,130.47,130.59,1088229,126.79,116.36,124.14,68.87,2148071.0,0.1974,130.63
130.44,131.34,129.06,130.63,1012408,127.39,116.83,124.76,66.73,2169485.0,0.1959,128.95
128.9,130.14,127.5,128.95,3001787,127.72,117.25,125.16,62.83,1798874.0,0.2026,129.16
128.18,129.94,127.72,129.16,1356079,128.21,117.61,125.54,61.96,1793699.0,0.2005,127.92
127.69,128.12,127.39,127.92,2126494,128.17,117.99,125.77,58.76,1869585.0,0.2036,129.87
